,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,25000,1000,0.5,50,7,25,10,0.700721154,0.725274725,0.582417582,0.703296703,0.747252747,0.681318681,0.725274725,0.769230769,0.644736842,0.677966102,0.896551724,0.612903226,,,,
Only training 1 distance,,,,,,,,,,,,,,,,,,,,,,,
0,25000,1000,0.5,50,0,25,10,0.705528846,0.725274725,0.604395604,0.692307692,0.747252747,0.714285714,0.725274725,0.78021978,0.644736842,0.677966102,0.862068966,0.612903226,,,,
0,25000,1000,0.5,50,1,25,10,0.680288462,0.714285714,0.659340659,0.648351648,0.725274725,0.692307692,0.67032967,0.758241758,0.631578947,0.593220339,0.75862069,0.580645161,,,,
0,25000,1000,0.5,50,2,25,10,0.653846154,0.659340659,0.637362637,0.626373626,0.67032967,0.681318681,0.648351648,0.736263736,0.605263158,0.593220339,0.689655172,0.612903226,,,,
0,25000,1000,0.5,50,3,25,10,0.652644231,0.659340659,0.626373626,0.626373626,0.67032967,0.681318681,0.648351648,0.736263736,0.605263158,0.593220339,0.689655172,0.612903226,,,,
0,25000,1000,0.5,50,4,25,10,0.651442308,0.659340659,0.626373626,0.626373626,0.659340659,0.681318681,0.648351648,0.736263736,0.605263158,0.593220339,0.689655172,0.612903226,,,,
0,25000,1000,0.5,50,5,25,10,0.652644231,0.659340659,0.626373626,0.626373626,0.67032967,0.681318681,0.648351648,0.736263736,0.605263158,0.593220339,0.689655172,0.612903226,,,,
0,25000,1000,0.5,50,10,25,10,0.652644231,0.659340659,0.626373626,0.626373626,0.67032967,0.681318681,0.648351648,0.736263736,0.605263158,0.593220339,0.689655172,0.612903226,,,,
Only training 2 distance,,,,,,,,,,,,,,,,,,,,,,,
0,25000,1000,0.5,50,0,25,10,0.699519231,0.703296703,0.56043956,0.747252747,0.747252747,0.714285714,0.703296703,0.769230769,0.618421053,0.694915254,0.862068966,0.612903226,,,,
0,25000,1000,0.5,50,1,25,10,0.699519231,0.681318681,0.571428571,0.769230769,0.747252747,0.681318681,0.703296703,0.758241758,0.657894737,0.711864407,0.896551724,0.548387097,,,,
0,25000,1000,0.5,50,2,25,10,0.683894231,0.681318681,0.527472527,0.791208791,0.747252747,0.67032967,0.714285714,0.725274725,0.631578947,0.627118644,0.862068966,0.548387097,,,,
